"feature","Astro.L1.FGFR3.MT1G","Endo.L2.5.CLDN5","VLMC.L1.3.CYP1B1","Peri.L1.6.MUSTN1","Astro.L1.FGFR3.FOS","Oligo.L4.6.MOBP.COL18A1","OPC.L1.6.MYT1","Micro.L1.6.C1QC","Oligo.L4.6.OPALIN","Astro.L1.6.FGFR3.ETNPPL"
"SLCO1A2",0.09663636,4.473077,0.1575,0.05125,0.21535714,8.023016,0.002275862,0,8.41615,0.074195325
"SLCO1B1",0,0.011923077,0.0625,0,0,0.2934737,0,0,0.10795707,0
"SLCO1B3",0,0,0,0,0,0,0,0,0,0
"SLCO1B7",0,0,0,0,0,0,0,0,0,0
"SLCO1C1",8.015,0,0.34625,1.1208333,2.9685714,0,0,0,0,8.876701
"SLCO2A1",0,0,0,0,0,0,0,0,0,0
"SLCO2B1",0,2.9351923,0.39875,0,0,0,0,8.206313,0,0
"SLCO3A1",0.5644954,1.8884616,0.095,1.1904167,1.7978572,9.606457,0.15,0.042251773,9.706098,0.18575549
"SLCO4A1",0,0.41634616,0,0,0,0,0,0,0,0
"SLCO4A1-AS1",0,0,0,0,0,0,0,0,0,0
"SLCO4C1",0,0,0,0,0,0,0,0,0,0
"SLCO5A1",0.2844954,0.2856604,0.1075,0.38833332,0.5925,0.48321053,0.42467242,0.36133453,0.3097693,0.4476722
"SLCO6A1",0,0,0,0,0,0,0,0,0,0
"SLED1",0,0,0,0,0,0,0,0,0,0
"SLFN11",0,0,0,0,0,0,0,0,0,0
"SLFN12",0,0,0,0,0,0,0,0,0,0
"SLFN12L",0,0,0,0,0,0,0,0,0,0
"SLFN13",0,0,0,0,0,0,0,0,0,0
"SLFN14",0,0,0,0,0,0,0,0,0,0
"SLFN5",0,0,0,0,0,0,0,0,0,0
"SLFNL1",0,0,0,0,0,0,0,0,0,0
"SLFNL1-AS1",0,0,0,0,0,0,0,0,0,0
"SLIRP",0.65577984,0,0,0,0.20839286,0.8204737,0,0,0,0.020262431
"SLIT1",0,0,0,0,0.030535715,0.008263158,0.10918965,0,0,0.0588
"SLIT1-AS1",0,0,0,0,0,0,0,0,0,0
"SLIT2",0.08345454,0.08230769,0,0.1725,0.16736843,0.55873686,0.14882758,0.23148936,0.5605803,0.11332873
"SLIT2-IT1",0,0,0,0,0,0,0,0,0,0
"SLIT3",0.69798166,0.74153847,1.636,1.54,1.3951352,0.8231053,0.64225084,0.82403916,1.2307547,1.3311777
"SLITRK1",0,0,0,0,0,0,0.09910345,0,0,0
"SLITRK2",0.027981652,0,0,0,0,0,0.23632759,0,0,0.11848066
"SLITRK3",0,0,0,0,0,0,0,0,0,0
"SLITRK4",0,0,0,0,0,0,0,0,0,0
"SLITRK5",0,0,0,0,0,0,0,0,0,0
"SLITRK6",0,0,0,0,0,0,0,0,0,0
"SLK",0.0048623853,0.36615384,0,0,0.010535714,0.11173684,0.0017413793,0,0.0154761905,0.16440608
"SLMAP",1.4415597,0.5407692,2.26,0.64875,3.2786486,3.1784127,1.3193103,0.4783096,0.8034049,4.146141
"SLMO1",0,0,0,0,0,0,0,0,0,0.030455802
"SLMO2",0,0,0,0,0,0,0,0,0,0
"SLMO2-ATP5E",0,0,0,0,0,0,0,0,0,0
"SLMO2P1",0,0,0,0,0,0,0,0,0,0
"SLMO2P11",0,0,0,0,0,0,0,0,0,0
"SLMO2P3",0,0,0,0,0,0,0,0,0,0
"SLN",0,0,0,0,0,0,0,0,0,0
"SLPI",0,0,0,0,0,0,0,0,0,0
